step, strain11, strain22, strain12, stress11, stress22, stress12, d1, d2, d4, d5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 3e-05, 0, 0, 385.734, 50.3512, 0, 5.15219e-06, 0, 0, 0, 
2, 6e-05, 0, 0, 771.059, 100.649, 0, 0.000305387, 0, 0, 0, 
3, 9e-05, 0, 0, 1155.53, 150.836, 0, 0.000821353, 0, 0, 0, 
4, 0.00012, 0, 0, 1538.91, 200.879, 0, 0.00148299, 0, 0, 0, 
5, 0.00015, 0, 0, 1920.99, 250.754, 0, 0.00226297, 0, 0, 0, 
6, 0.00018, 0, 0, 2301.61, 300.437, 0, 0.00314519, 0, 0, 0, 
7, 0.00021, 0, 0, 2680.61, 349.91, 0, 0.00411867, 0, 0, 0, 
8, 0.00024, 0, 0, 3057.88, 399.155, 0, 0.00517526, 0, 0, 0, 
9, 0.00027, 0, 0, 3433.29, 448.159, 0, 0.00630857, 0, 0, 0, 
10, 0.0003, 0, 0, 3806.73, 496.906, 0, 0.00751344, 0, 0, 0, 
11, 0.00033, 0, 0, 4178.11, 545.384, 0, 0.00878556, 0, 0, 0, 
12, 0.00036, 0, 0, 4547.35, 593.581, 0, 0.0101213, 0, 0, 0, 
13, 0.00039, 0, 0, 4914.36, 641.489, 0, 0.0115173, 0, 0, 0, 
14, 0.00042, 0, 0, 5279.07, 689.095, 0, 0.012971, 0, 0, 0, 
15, 0.00045, 0, 0, 5641.41, 736.393, 0, 0.0144798, 0, 0, 0, 
16, 0.00048, 0, 0, 6001.33, 783.374, 0, 0.0160415, 0, 0, 0, 
17, 0.00051, 0, 0, 6358.75, 830.03, 0, 0.017654, 0, 0, 0, 
18, 0.00054, 0, 0, 6713.64, 876.355, 0, 0.0193155, 0, 0, 0, 
19, 0.00057, 0, 0, 7065.95, 922.342, 0, 0.0210243, 0, 0, 0, 
20, 0.0006, 0, 0, 7415.63, 967.987, 0, 0.0227789, 0, 0, 0, 
21, 0.00063, 0, 0, 7762.64, 1013.28, 0, 0.0245777, 0, 0, 0, 
22, 0.00066, 0, 0, 8106.95, 1058.23, 0, 0.0264195, 0, 0, 0, 
23, 0.00069, 0, 0, 8448.53, 1102.82, 0, 0.0283029, 0, 0, 0, 
24, 0.00072, 0, 0, 8787.35, 1147.04, 0, 0.0302268, 0, 0, 0, 
25, 0.00075, 0, 0, 9123.38, 1190.91, 0, 0.0321901, 0, 0, 0, 
26, 0.00078, 0, 0, 9456.6, 1234.4, 0, 0.0341917, 0, 0, 0, 
27, 0.00081, 0, 0, 9787, 1277.53, 0, 0.0362305, 0, 0, 0, 
28, 0.00084, 0, 0, 10114.6, 1320.29, 0, 0.0383057, 0, 0, 0, 
29, 0.00087, 0, 0, 10439.2, 1362.67, 0, 0.0404163, 0, 0, 0, 
30, 0.0009, 0, 0, 10761.1, 1404.68, 0, 0.0425614, 0, 0, 0, 
31, 0.00093, 0, 0, 11080, 1446.31, 0, 0.0447403, 0, 0, 0, 
32, 0.00096, 0, 0, 11396.1, 1487.57, 0, 0.0469521, 0, 0, 0, 
33, 0.00099, 0, 0, 11709.2, 1528.45, 0, 0.0491961, 0, 0, 0, 
34, 0.00102, 0, 0, 12019.5, 1568.95, 0, 0.0514715, 0, 0, 0, 
35, 0.00105, 0, 0, 12326.9, 1609.07, 0, 0.0537776, 0, 0, 0, 
36, 0.00108, 0, 0, 12631.4, 1648.82, 0, 0.0561137, 0, 0, 0, 
